UT,TI,AU,AF,SO,PY,AB,DE,ID,CR,DI,C1,RP,TC,Z9,AR,BP,EA,EI,EP,IS,OI,PD,PM,PN,PT,RI,SI,SN,SU,VL,VR,include,reason_code,reason_detail,screener,screen_date,stage
WOS:001615523800002,Students' Perceptions and Uses of ChatGPT: Implications for Teaching AI,"Havelka, S","Havelka, Stefanie",LIBRARY TRENDS,2025,,,,,10.1353/lib.2025.a968489,,,,,,,,1559-0682,,4,"Havelka, Stefanie/0000-0003-0556-0325",MAY,,,J,"Kerrigan, Páraic/ABC-7175-2020",,0024-2594,,73.0,,True,,,董恒清,2026-05-25,initial
WOS:001562898700001,Evaluation of large language models for the intangible cultural heritage,"Zhao, ZX","Zhao, Zhixiao",NPJ HERITAGE SCIENCE,2025,,,,,10.1038/s40494-025-02013-1,,,,,439,,,3059-3220,,1,,SEP 3,,,J,,,,,13.0,,True,,,董恒清,2026-05-25,initial
WOS:001351692700001,Comprehensive Characterization of Oxidative Stress-Modulating Chemicals,"Liang, WQ","Liang, Wenqing",ENVIRONMENTAL SCIENCE & TECHNOLOGY,2024,,,,,10.1021/acs.est.4c07390,,,,,,20540,NOV 2024,1520-5851,20552,46,"Zhong, Laijin/0009-0005-6877-7793; Liang, Wenqing/0000-0001-8489-6729;",NOV 8,39513989.0,,J,"Ruan, Ting/T-1396-2019; Liang, Yong/AAB-3942-2021",,0013-936X,,58.0,,True,,,董恒清,2026-05-25,initial
WOS:001524792900003,Modeling the role of generative AI in organizational privacy and,"Choudhary, SK","Choudhary, Shweta Kumari",DECISION SUPPORT SYSTEMS,2025,,,,,10.1016/j.dss.2025.114500,,,,,114500,,JUL 2025,1873-5797,,,,SEP,,,J,"Kar, Arpan/B-9999-2009; Choudhary, Shweta/JMP-8914-2023",,0167-9236,,196.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001617631400001,Design system of generative adversarial network (GAN) for bronze,"Ma, F","Ma, Fei",INTELLIGENT DECISION TECHNOLOGIES-NETHERLANDS,2025,,,,,10.1177/18724981251396254,,,,,,,NOV 2025,1875-8843,,,,2025 NOV 18,,,J,"Ma, Fei/AAX-6899-2020",,1872-4981,,,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001595533100001,Mapping the intersection of digital technologies and humanities: a,"Choemprayong, S","Choemprayong, Songphan",DIGITAL SCHOLARSHIP IN THE HUMANITIES,2026,,,,,10.1093/llc/fqaf117,,,,,,51,OCT 2025,2055-768X,68,1,"intaranuch, kongweha/0009-0009-8012-3994; Chintakovid,",APR,,,J,"Choemprayong, Songphan/A-3475-2011",,2055-7671,,41.0,,True,,,董恒清,2026-05-25,initial
WOS:001370433700001,GAN-based heterogeneous network for ancient mural restoration,"Zhao, FH","Zhao, Fanhua",HERITAGE SCIENCE,2024,,,,,10.1186/s40494-024-01517-6,,,,,418,,,,,1,,DEC 5,,,J,"sun, ke/JBR-9935-2023",,2050-7445,,12.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001548978200001,Cross-Platform Comparison of Generative Design Based on a,"Wang, YL","Wang, Yali",APPLIED SCIENCES-BASEL,2025,,,,,10.3390/app15158170,,,,,8170,,,2076-3417,,15,"Li, Lin/0009-0009-7364-4759; Gan, Yan/0000-0003-4819-4599",JUL 23,,,J,,,,,15.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001596883500044,KingdomGlimpses: Evaluating Saudi Cultural Representation Through,"Almarwani, N","Almarwani, Nada",IEEE ACCESS,2025,,,,,10.1109/ACCESS.2025.3619432,,,,,,177822,,,177845,,"Almarwani, Nada/0000-0002-3361-4653;",,,,J,"; Almutery, Manal/ABD-9732-2021; Al-Thubaity, AbdulMohsen/AAW-3824-2020;",,2169-3536,,13.0,,False,E3,Excluded by E3 rule,董恒清,2026-05-25,initial
WOS:001063259100001,Artificial intelligence in education: the challenges of ChatGPT,"Rodrigues, OS","Rodrigues, Olira Saraiva",TEXTO LIVRE-LINGUAGEM E TECNOLOGIA,2023,,,,,10.1590/1983-3652.2023.45997,,,,,e45997,,,,,,"Rodrigues, Karoline Santos/0000-0002-5139-9950; SARAIVA RODRIGUES,",,,,J,,,1983-3652,,16.0,,True,,,董恒清,2026-05-25,initial
WOS:001643518900001,ShadowTale: Exploring AI-Assisted Story Creation in Digital Shadow,"Liu, GH","Liu, Guanhong",IEEE TRANSACTIONS ON COMPUTATIONAL SOCIAL SYSTEMS,2025,,,,,10.1109/TCSS.2025.3635735,,,,,,,DEC 2025,,,,"Lei, Jiaying/0009-0000-3390-3116; Yao, Zhihao/0009-0003-9638-7413;",2025 DEC 17,,,J,"; Cao, Nan/O-5397-2014; Huang, Xueting/LIC-7949-2024",,2329-924X,,,,True,,,董恒清,2026-05-25,initial
WOS:001525950600002,The Impact of Generative AI on Chinese Poetry Instruction: Enhancing,"Wang, SB","Wang, Sunyar Bishuang",INTERNATIONAL JOURNAL OF ONLINE PEDAGOGY AND COURSE DESIGN,2025,,,,,10.4018/IJOPCD.375626,,,,,375626,,,2155-6881,,1,"Wang, Bishuang/0009-0008-8262-5499; Wang, Sandy I",,,,J,"; Wang, Sandy I Ching/KFB-7341-2024",,2155-6873,,15.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001559320900005,Development and Validation of the ICAP GenAI Scale to Measure How,"Zhang, JZ","Zhang, Jianzhen",EUROPEAN JOURNAL OF EDUCATION,2025,,,,,10.1111/ejed.70209,,,,,e70209,,,1465-3435,,3,"Ge, Jiahao/0000-0003-3423-5935",SEP,,,J,,,0141-8211,,60.0,,True,,,董恒清,2026-05-25,initial
WOS:001643360600005,Developing Policy Guidelines for Generative AI Use in Higher Education:,"Spilbergs, A","Spilbergs, Aivars",HIGHLIGHTS OF SUSTAINABILITY,2025,,,,,10.54175/hsustain4040017,,,,,,,,2696-628X,,4,"Sloka, Biruta/0000-0003-2129-053X; Mavrenko,",DEC,,,J,"Sloka, Biruta/K-5043-2017; Spilbergs, Aivars/AAH-3847-2019",,,,4.0,,True,,,董恒清,2026-05-25,initial
