UT,TI,AU,PY,SO,DE,AB,DI
WOS:001636213200001,Enhancing Quantitative Analysis in Social Sciences With Large Language,"Sebastian, J",2025,AERA OPEN,,,10.1177/23328584251389621
WOS:001610944100001,Reasoning Models for Text Mining in Oncology: A Comparison Between o1,"Windisch, P",2025,JCO CLINICAL CANCER INFORMATICS,,,10.1200/CCI-24-00311
WOS:001623913200001,A Systems Approach to Validating Large Language Model Information,"Çetinkaya, A",2025,INFORMATION,,,10.3390/info16110960
WOS:001549753300001,Writing Is Coding for Sustainable Futures: Reimagining Poetic Expression,"Lin, HCK",2025,SUSTAINABILITY,,,10.3390/su17157020
WOS:001647761200001,Embracing Dialectic Intersubjectivity: Coordination of Differential,"Kang, TW",2025,SOCIAL SCIENCE COMPUTER REVIEW,,,10.1177/08944393251410155
WOS:001603317000001,CAN MULTIMODAL LARGE LANGUAGE MODELS ANNOTATE LOW-AND HIGH-LEVEL,"Suviranta, R",2025,INTERNATIONAL JOURNAL OF HUMANITIES AND ARTS COMPUTING-A JOURNAL OF,,,10.3366/ijhac.2025.0354
WOS:001626382100001,Uncovering the Multifunctional Roles of Metal-Organic Frameworks in,"Wang, XY",2025,ISRAEL JOURNAL OF CHEMISTRY,,,10.1002/ijch.70002
WOS:001647331300001,Stagnation in US Recycling Rates: Evaluating the Impact of Bottle Bills,"Oh, CB",2025,SUSTAINABILITY,,,10.3390/su172411335
WOS:001539585400001,Integrating Machine Learning Techniques and the Theory of Planned,"Pérez-Portabella, A",2025,ALGORITHMS,,,10.3390/a18070410
WOS:001469038100001,Understanding the landscape of a modern Chinese city and summer resort,"Lin, YN",2025,LANDSCAPE RESEARCH,,,10.1080/01426397.2025.2484193
WOS:001251604700001,Situated usage of generative AI in policy education: implications for,"Papyshev, G",2025,JOURNAL OF ASIAN PUBLIC POLICY,,,10.1080/17516234.2024.2370716
WOS:001622542800045,Value-based large language model agent simulation for mutual evaluation,"Sakamoto, Y",2025,SCIENTIFIC REPORTS,,,10.1038/s41598-025-25531-1
WOS:001551870600020,"Analysing nontraditional students' ChatGPT interaction, engagement,","Yang, MH",2025,BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY,,,10.1111/bjet.13588
WOS:001108855100005,Machine Learning Applications in Digital Humanities: Designing a,"Mitra, R",2023,DESIDOC JOURNAL OF LIBRARY & INFORMATION TECHNOLOGY,,,10.14429/djlit.43.4.19227
WOS:001578734000001,MuralAgent: Enhancing Ancient Mural Outpainting with RAG-Based Texts and,"Xu, ZS",2025,ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS,,,10.1145/3743679
WOS:001539703100001,A Systematic Approach to Evaluate the Use of Chatbots in Educational,"Qiu, W",2025,COMPUTERS,,,10.3390/computers14070270
WOS:001218265100001,Evaluation of Large Language Model Performance and Reliability for,"Mugaanyi, J",2024,JOURNAL OF MEDICAL INTERNET RESEARCH,,,10.2196/52935
WOS:001656528300002,"Using Wikidata's Ontology in Practice: A Neuro-Symbolic,","Velilla, MC",2025,JOURNAL OF OPEN HUMANITIES DATA,,,10.5334/johd.439
